Letter,Origin_X,Origin_Y,Destination_X,Destination_Y,Grammar,Valid/Invalid,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path,Unnamed: 17,count ,Valid/Invalid_Agent6,Valid/Invalid_Agent4,distinct
AW_Average-Regular,500768,1030391,501281,1030391,8sector,Valid,2,6.108524457,3.181100318,385.6842743,0.5714285714,0.7810641044,0.9449867416,0.3346172021,Approach1,LSP,,,,,AW_Average-Regular_Approach1
AW_Average-Regular,500768,1030391,501281,1030391,Klippel,Valid,2,6.108524457,3.181100318,385.6842743,0.5714285714,0.7810641044,0.9449867416,0.3346172021,Approach1,LSP,,,,,AW_Average-Regular_Approach1
AXF_Average-Regular,501155,1040132,504596,1039588,4sector,Invalid,2.01980198,6.672425342,3.239015471,701.873915,0.6053748232,0.8973803678,0.9824434742,0.6089413058,Approach1,LSP,,,,,AXF_Average-Regular_Approach1
AXF_Average-Regular,501155,1040132,504596,1039588,6sector,Invalid,2.01980198,6.672425342,3.239015471,701.873915,0.6053748232,0.8973803678,0.9824434742,0.6089413058,Approach1,LSP,,,,,AXF_Average-Regular_Approach1
AXF_Average-Regular,501155,1040132,504596,1039588,8sector,Valid,2.01980198,6.672425342,3.239015471,701.873915,0.6053748232,0.8973803678,0.9824434742,0.6089413058,Approach1,LSP,,,,,AXF_Average-Regular_Approach1
AXF_Average-Regular,501155,1040132,504596,1039588,Klippel,Invalid,2.01980198,6.672425342,3.239015471,701.873915,0.6053748232,0.8973803678,0.9824434742,0.6089413058,Approach1,LSP,,,,,AXF_Average-Regular_Approach1
AZH_Average-Regular,501155,1047732,504231,1045680,4sector,Invalid,2.023255814,6.442943496,3.142534004,649.5906446,0.6112956811,0.8500449733,0.9200439068,0.5635806758,Approach1,LSP,,,,,AZH_Average-Regular_Approach1
AZH_Average-Regular,501155,1047732,504231,1045680,6sector,Invalid,2.023255814,6.442943496,3.142534004,649.5906446,0.6112956811,0.8500449733,0.9200439068,0.5635806758,Approach1,LSP,,,,,AZH_Average-Regular_Approach1
AZH_Average-Regular,501155,1047732,504231,1045680,8sector,Valid,2.023255814,6.442943496,3.142534004,649.5906446,0.6112956811,0.8500449733,0.9200439068,0.5635806758,Approach1,LSP,,,,,AZH_Average-Regular_Approach1
AZH_Average-Regular,501155,1047732,504231,1045680,Klippel,Invalid,2.023255814,6.442943496,3.142534004,649.5906446,0.6112956811,0.8500449733,0.9200439068,0.5635806758,Approach1,LSP,,,,,AZH_Average-Regular_Approach1
